sample_row_id,sample_id,start_date,start_time,station_code,counter,gear_condition,trap_sample_type,habitat,debris_tubs,cone,fish_properly,flow_cfs,weather_code,temperature,turbidity,velocity,river_depth,gear,diel,sampling_weight,location_in_river,volume
16675,265_12,2012-09-20,07:49:00.000000,Gate 7,8621,n,non-intensive,run,7.5,1,Y,7394,CLR,57.700001,0.88,3.605,NA,RSTR8,,1.010416666666667,MC,7742025.9
14493,185_12,2012-07-02,09:07:00.000000,Gate 6,9467,pb,non-intensive,run,10.3,1,Y,13634,CLR,56.700001,2.4200001,3.266666666666667,NA,RSTR8,,1.042361111111111,MC,7443158.8
1,71_13,2013-03-11,09:48:00.000000,Gate 3,7151,n,non-intensive,run,4,1,Y,6254,CLR,52.799999,3.6900001,3.104094202898551,5,RSTR8,,1.102083333333333,EM,7271067.51
2,71_13,2013-03-11,12:18:00.000000,Gate 6,7859,n,non-intensive,run,4.0999999,1,Y,6254,CLR,52.799999,2.8099999,3.917321428571428,4.75,RSTR8,,0.8715277777777778,MC,7256367.867857142
3,71_13,2013-03-11,13:11:00.000000,Gate 7,9000,n,non-intensive,run,2,1,Y,6254,CLR,52.799999,2.6600001,4.191388888888889,5.5,RSTR8,,0.8722222222222222,MC,7770231.439999999
4,71_13,2013-03-11,10:39:00.000000,Gate 8,6851,n,non-intensive,run,1,1,Y,6254,CLR,52.799999,2.8399999,3.238055555555555,4.25,RSTR8,,1.013888888888889,WM,6807688
5,72_13,2013-03-12,12:15:00.000000,Gate 3,5225,n,non-intensive,run,3.5,1,Y,5910,CLR,53.200001,3.0899999,2.791884057971015,4.5,RSTR8,,0.88125,EM,5229321.683478261
6,72_13,2013-03-12,09:13:00.000000,Gate 6,8834,n,non-intensive,run,5,1,Y,5910,CLR,53.200001,2.4400001,3.890852649006622,4.5,RSTR8,,0.9979166666666667,MC,8487373.67955298
7,72_13,2013-03-12,10:07:00.000000,Gate 7,10294,n,non-intensive,run,2,1,Y,5910,CLR,53.200001,2.6800001,3.565882352941176,5.25,RSTR8,,1.01875,MC,7721176.531764705
8,72_13,2013-03-12,10:59:00.000000,Gate 8,8123,n,non-intensive,run,0.80000001,1,Y,5910,CLR,53.200001,2.4100001,2.86222609561753,4,RSTR8,,0.9625,WM,5712545.33067729
9,73_13,2013-03-13,14:14:00.000000,Gate 3,5590,n,non-intensive,run,2.8,1,Y,6045,CLD,53.099998,2.8299999,2.537027027027027,4.25,RSTR8,,0.9020833333333333,EM,4864302.807567568
10,73_13,2013-03-13,14:03:00.000000,Gate 6,7472,n,non-intensive,run,4,1,Y,6045,CLD,53.099998,2.76,4.009970588235294,4.75,RSTR8,,0.8256944444444444,MC,7237603.934647059
11,73_13,2013-03-13,14:05:00.000000,Gate 7,6740,n,non-intensive,run,1,1,Y,6045,CLD,53.099998,3.3499999,3.358899006622517,5.5,RSTR8,,0.78125,MC,5577451.800496689
12,73_13,2013-03-13,12:47:00.000000,Gate 8,6307,n,non-intensive,run,0.80000001,1,Y,6045,CLD,53.099998,2.6300001,3.357126865671642,4.5,RSTR8,,0.9201388888888888,WM,6565533.01119403
13,74_13,2013-03-14,11:53:00.000000,Gate 3,6100,n,non-intensive,run,3.5999999,1,Y,6276,CLD,52.900002,3.23,2.980389492753623,5.25,RSTR8,,0.9923611111111111,EM,6286249.439673912
14,74_13,2013-03-14,09:52:00.000000,Gate 6,8604,n,non-intensive,run,4,1,Y,6276,CLD,52.900002,2.74,3.756580882352941,4.6999998,RSTR8,,0.9722222222222222,MC,7762598.735294117
15,74_13,2013-03-14,08:50:00.000000,Gate 7,9162,n,non-intensive,run,1.5,1,Y,6276,CLD,52.900002,2.29,3.037307197943445,5.5,RSTR8,,1.051388888888889,MC,6787361.05218509
16,74_13,2013-03-14,10:52:00.000000,Gate 8,6900,n,non-intensive,run,0.80000001,1,Y,6276,CLD,52.900002,2.5,3.444933333333333,4.0999999,RSTR8,,0.9944444444444445,WM,6896536.0576
17,75_13,2013-03-15,12:29:00.000000,Gate 3,5834,n,non-intensive,run,3,1,Y,6346,CLD,53.299999,2.55,2.875833333333333,5.25,RSTR8,,0.8659722222222223,EM,5293178.31
18,75_13,2013-03-15,13:11:00.000000,Gate 6,8176,n,non-intensive,run,3.0999999,1,Y,6346,CLR,53.299999,2.26,3.619166666666666,4.75,RSTR8,,0.8951388888888889,MC,6885696.21
19,75_13,2013-03-15,10:04:00.000000,Gate 7,9391,n,non-intensive,run,1.9,1,Y,6346,CLR,53.299999,2.3099999,3.409388888888889,5.5,RSTR8,,1.059722222222222,MC,7679225.708000001
20,75_13,2013-03-15,10:44:00.000000,Gate 8,7383,n,non-intensive,run,0.80000001,1,Y,6346,CLR,53.299999,2.6700001,3.392261904761905,4,RSTR8,,1.056944444444444,WM,7620621.385714286
21,76_13,2013-03-16,11:30:00.000000,Gate 7,8323,n,non-intensive,run,1.1,1,Y,6222,CLR,53.299999,2.6500001,3,5,RSTR8,,0.9569444444444445,MC,6101784.000000001
22,76_13,2013-03-16,09:16:00.000000,Gate 3,6546,n,non-intensive,run,3.4000001,1,Y,6222,CLR,53.299999,2.3900001,3.261708333333333,4.6999998,RSTR8,,0.9861111111111112,EM,6836279.73
23,76_13,2013-03-16,10:40:00.000000,Gate 6,8703,n,non-intensive,run,4,1,Y,6222,CLR,53.299999,2.9400001,3.537673611111111,4.75,RSTR8,,0.9631944444444445,MC,7448451.507291666
24,76_13,2013-03-16,12:06:00.000000,Gate 8,6573,n,non-intensive,run,0.30000001,1,Y,6222,CLR,53.299999,3.0699999,3.143946540880503,4,RSTR8,,0.9597222222222223,WM,6074217.899056604
25,77_13,2013-03-17,08:56:00.000000,Gate 3,6590,n,non-intensive,run,2.5,1,Y,6001,CLR,52.700001,2.96,2.90675,4.5,RSTR8,,1.018055555555555,EM,6289672.158
26,77_13,2013-03-17,09:47:00.000000,Gate 6,9024,n,non-intensive,run,4,1,Y,6001,CLR,52.700001,2.46,3.817536231884058,4.75,RSTR8,,1.025694444444444,MC,8119441.460869565
27,77_13,2013-03-17,10:28:00.000000,Gate 7,8664,n,non-intensive,run,1.2,1,Y,6001,CLR,52.700001,2.79,2.7076,4.75,RSTR8,,1.029861111111111,MC,5926687.3008
28,77_13,2013-03-17,11:08:00.000000,Gate 8,6957,n,non-intensive,run,1,1,Y,6001,CLR,52.700001,2.6500001,3.466785714285714,3.75,RSTR8,,1.030555555555555,WM,7408382.399999999
29,78_13,2013-03-18,09:22:00.000000,Gate 3,6319,n,non-intensive,run,2.5,1,Y,5871,CLR,52.5,2.8900001,2.934149855907781,5,RSTR8,,0.9826388888888888,EM,6128089.340057637
30,78_13,2013-03-18,10:24:00.000000,Gate 6,8407,n,non-intensive,run,2.4000001,1,Y,5871,CLR,52.5,2.1700001,3.893258426966292,4.75,RSTR8,,0.9701388888888889,MC,8256222.91011236
31,78_13,2013-03-18,11:11:00.000000,Gate 7,7842,n,non-intensive,run,1.3,1,Y,5871,CLR,52.5,2.22,3.138916666666667,5.25,RSTR8,,0.9583333333333334,MC,6393596.580000001
32,78_13,2013-03-18,11:52:00.000000,Gate 8,6259,n,non-intensive,run,0.5,1,Y,5871,CLR,52.5,2.27,3.273846153846154,4,RSTR8,,0.9527777777777777,WM,6468072.369230769
33,79_13,2013-03-19,08:57:00.000000,Gate 3,6175,n,non-intensive,run,2,1,Y,5868,RAN,52.099998,2.22,2.985372340425532,4.5,RSTR8,,0.9715277777777778,EM,6164566.994680852
34,79_13,2013-03-19,09:41:00.000000,Gate 6,8346,n,non-intensive,run,3,1,Y,5868,RAN,52.099998,2.24,3.623369565217391,4.5,RSTR8,,0.96875,MC,7460590.402173912
35,79_13,2013-03-19,10:11:00.000000,Gate 7,7959,n,non-intensive,run,1.6,1,Y,5868,CLD,52.099998,2.7,2.826171171171171,5.5,RSTR8,,0.9756944444444444,MC,5860857.251351352
36,79_13,2013-03-19,10:44:00.000000,Gate 8,6370,n,non-intensive,run,0.60000002,1,Y,5868,CLD,52.099998,NA,3.131905864197531,4.25,RSTR8,,0.9729166666666667,WM,6134144.561805555
37,80_13,2013-03-20,08:16:00.000000,Gate 3,7244,n,non-intensive,run,4,1,Y,6727,CLR,51.599998,3.22,2.781926229508197,5.5,RSTR8,,1.095833333333333,EM,6479462.275081968
38,80_13,2013-03-20,09:36:00.000000,Gate 8,7181,n,non-intensive,run,1.3,1,Y,6727,CLR,51.599998,3.1199999,3.403371501272265,4,RSTR8,,1.058333333333333,WM,7468902.96183206
39,80_13,2013-03-20,08:56:00.000000,Gate 6,8971,n,non-intensive,run,5.0999999,1,Y,6727,CLR,51.599998,4.4499998,3.96561475409836,5.5,RSTR8,,0.9951388888888889,MC,8387703.491311475
40,80_13,2013-03-20,10:36:00.000000,Gate 7,8791,n,non-intensive,run,3,1,Y,6727,CLR,51.599998,3.25,3.514291666666666,6,RSTR8,,0.9666666666666667,MC,7220435.543999999
41,81_13,2013-03-21,10:34:00.000000,Gate 3,6964,n,non-intensive,run,3.0999999,1,Y,6628,CLR,51.200001,4.6100001,2.987395833333333,4.75,RSTR8,,1.042361111111111,EM,6457076.85
42,81_13,2013-03-21,08:49:00.000000,Gate 6,9269,n,non-intensive,run,3.7,1,Y,6628,CLR,51.200001,4.6100001,3.982131782945737,4.75,RSTR8,,0.9958333333333333,MC,8428516.417674419
43,81_13,2013-03-21,09:48:00.000000,Gate 7,9313,n,non-intensive,run,1.2,1,Y,6628,CLR,51.200001,4.0599999,3.368362831858407,5.5,RSTR8,,1.007638888888889,MC,7419216.6039823
44,81_13,2013-03-21,11:00:00.000000,Gate 8,6936,n,non-intensive,run,0.40000001,1,Y,6628,CLR,51.200001,4.52,3.276516393442623,4,RSTR8,,0.9888888888888889,WM,6718693.455737704
45,82_13,2013-03-22,11:35:00.000000,Gate 3,5731,n,non-intensive,run,2,1,Y,6020,CLR,51.599998,3.72,2.633506944444444,4.75,RSTR8,,0.8805555555555555,EM,4928787.324999999
46,82_13,2013-03-22,08:43:00.000000,Gate 6,9003,n,non-intensive,run,2,1,Y,6020,CLR,51.599998,3.3399999,3.902534448818897,4.5,RSTR8,,1.032638888888889,MC,8565329.438681101
47,82_13,2013-03-22,09:59:00.000000,Gate 7,8400,n,non-intensive,run,0.80000001,1,Y,6020,CLR,51.599998,2.77,2.993958333333333,5.25,RSTR8,,1.018055555555555,MC,6662718.9475
48,82_13,2013-03-22,10:44:00.000000,Gate 8,6729,n,non-intensive,run,0.30000001,1,Y,6020,CLR,51.599998,2.9300001,3.302161949685534,3.75,RSTR8,,1.014583333333333,WM,6744593.1346698115
49,83_13,2013-03-23,08:43:00.000000,Gate 3,6208,n,non-intensive,run,2,1,Y,5770,CLR,52.799999,3.27,2.992728758169935,4.5,RSTR8,,0.9826388888888888,EM,6250433.720588235
50,83_13,2013-03-23,09:30:00.000000,Gate 6,8365,n,non-intensive,run,2,1,Y,5770,CLR,52.799999,2.6600001,3.85371875,4.5,RSTR8,,0.9770833333333333,MC,8003141.047125
51,83_13,2013-03-23,10:25:00.000000,Gate 7,7578,n,non-intensive,run,0.80000001,1,Y,5770,CLR,52.799999,2.54,2.38648343373494,4.75,RSTR8,,0.9708333333333333,MC,4804277.530120482
52,83_13,2013-03-23,11:05:00.000000,Gate 8,6164,n,non-intensive,run,0.40000001,1,Y,5770,CLR,52.799999,2.8699999,3.221493902439025,4,RSTR8,,0.975,WM,6513087.512195121
53,84_13,2013-03-24,08:18:00.000000,Gate 3,6168,n,non-intensive,run,2,1,Y,5808,CLR,53.799999,3.05,2.710536858974359,4.5,RSTR8,,0.9979166666666667,EM,5749081.204326922
54,84_13,2013-03-24,08:57:00.000000,Gate 6,8407,n,non-intensive,run,2.5,1,Y,5808,CLD,53.799999,2.47,3.702027777777777,4.25,RSTR8,,0.9951388888888889,MC,8052998.812833333
55,84_13,2013-03-24,09:43:00.000000,Gate 7,7598,n,non-intensive,run,1,1,Y,5808,CLD,53.799999,2.9300001,2.974558080808081,4.4000001,RSTR8,,0.9875,MC,6243216.668181818
56,84_13,2013-03-24,10:29:00.000000,Gate 8,6154,n,non-intensive,run,0.5,1,Y,5808,CLD,53.799999,3,2.902177419354838,4,RSTR8,,0.9736111111111111,WM,5859147.948387096
57,85_13,2013-03-25,09:51:00.000000,Gate 8,6563,n,non-intensive,run,0.80000001,1,Y,5353,CLR,55,2.21,3.263888888888889,4,RSTR8,,1.079861111111111,WM,7308500
58,86_13,2013-03-26,08:35:00.000000,Gate 3,5991,n,non-intensive,run,2,1,Y,5694,CLD,56.599998,2.9000001,2.725581395348837,4.25,RSTR8,,1.036111111111111,EM,6002253.544186046
59,86_13,2013-03-26,09:32:00.000000,Gate 6,7827,n,non-intensive,run,2.2,1,Y,5694,CLD,56.599998,2.6600001,3.323844884488449,4.25,RSTR8,,0.9743055555555555,MC,6715230.297029704
60,86_13,2013-03-26,14:00:00.000000,Gate 7,6217,n,non-intensive,run,0.80000001,1,Y,5694,CLD,56.599998,2.6400001,2.897125,4.5,RSTR8,,0.8444444444444444,MC,5199806.304
61,86_13,2013-03-26,11:46:00.000000,Gate 8,5286,n,non-intensive,run,0.40000001,1,Y,5694,CLD,56.599998,2.3199999,3.3957,4.25,RSTR8,,0.9027777777777778,WM,6356750.399999999
62,87_13,2013-03-27,12:14:00.000000,Gate 3,5463,n,non-intensive,run,2,1,Y,5209,CLD,56.5,2.95,2.719675925925926,4.5,RSTR8,,0.9347222222222222,EM,5271384.666666666
63,87_13,2013-03-27,12:11:00.000000,Gate 6,7211,n,non-intensive,run,2.4000001,1,Y,5209,CLD,56.5,2.6400001,3.675875,4.25,RSTR8,,0.9097222222222222,MC,7107524.865
64,87_13,2013-03-27,11:53:00.000000,Gate 7,6483,n,non-intensive,run,0.80000001,1,Y,5209,CLD,56.5,2.4100001,3.10920245398773,4.5,RSTR8,,0.8958333333333334,MC,5775654.4785276065
65,87_13,2013-03-27,11:13:00.000000,Gate 8,5390,n,non-intensive,run,0.69999999,1,Y,5209,CLD,56.5,2.53,3.220838084378563,4.5,RSTR8,,0.9020833333333333,WM,6024770.887115166
66,88_13,2013-03-28,10:40:00.000000,Gate 3,5121,n,non-intensive,run,1.6,1,Y,5031,CLR,56.200001,2.5999999,2.741471571906354,4.25,RSTR8,,0.9180555555555555,EM,5349356.717056856
67,88_13,2013-03-28,10:01:00.000000,Gate 6,7684,n,non-intensive,run,2.0999999,1,Y,5031,CLR,56.200001,1.9299999,2.348684210526315,4.25,RSTR8,,0.9909722222222223,MC,4946920.815789473
68,88_13,2013-03-28,09:23:00.000000,Gate 7,7384,n,non-intensive,run,1,1,Y,5031,CLR,56.200001,2.29,2.835546875,4.5,RSTR8,,1.061111111111111,MC,6395088.2625
69,88_13,2013-03-28,08:52:00.000000,Gate 8,6272,n,non-intensive,run,0.5,1,Y,5031,CLR,56.200001,2.3900001,3.406375,3.75,RSTR8,,1.111805555555555,WM,7853193.179999999
70,89_13,2013-03-29,08:42:00.000000,Gate 3,6287,n,non-intensive,run,3.7,1,Y,6389,CLD,56.099998,3.22,2.998090277777777,4.75,RSTR8,,1.016666666666667,EM,6478465.349999999
71,89_13,2013-03-29,10:21:00.000000,Gate 6,9010,n,non-intensive,run,4.6999998,1,Y,6389,CLR,56.099998,4.6300001,4.073863636363636,5,RSTR8,,0.9770833333333333,MC,8701063.875
72,89_13,2013-03-29,10:51:00.000000,Gate 7,8839,n,non-intensive,run,2.2,1,Y,6389,CLD,56.099998,4.77,3.366907894736842,6,RSTR8,,1.013194444444445,MC,7250582.280789473
